label,leverage,top_n,reb,lock,full_cagr,full_sharpe,full_dd,min_sharpe,median_sharpe,worst_dd,median_cagr,liq_thr,safe_thr,margin_safe
ema200_only|sat_accel_80_nolock,1.0,20,10,off,0.4169,1.391,-0.2854,0.323,1.276,-0.2863,0.3871,1.0,0.8,True
ema200_only|sat_accel_80_nolock,1.0,20,21,off,0.4018,1.358,-0.2977,-0.034,1.444,-0.3178,0.3573,1.0,0.8,True
ema200_only|sat_accel_80_nolock,1.0,30,5,off,0.3418,1.311,-0.2631,0.017,1.205,-0.2636,0.3071,1.0,0.8,True
ema200_only|sat_accel_80_nolock,1.0,30,10,off,0.3217,1.231,-0.2592,-0.06,1.333,-0.2683,0.3135,1.0,0.8,True
ema200_only|sat_accel_80_nolock,1.0,30,21,off,0.3252,1.242,-0.2834,0.012,1.311,-0.2892,0.2871,1.0,0.8,True
ema200_only|sat_accel_80_nolock,1.25,15,5,off,0.6369,1.528,-0.3643,0.265,1.479,-0.3632,0.5133,0.9167,0.7333,True
ema200_only|sat_accel_80_nolock,1.25,15,10,off,0.6328,1.515,-0.3412,0.223,1.577,-0.3563,0.5522,0.9167,0.7333,True
ema200_only|sat_accel_80_nolock,1.25,15,21,off,0.5813,1.418,-0.3878,0.019,1.435,-0.3916,0.5122,0.9167,0.7333,True
ema200_only|sat_accel_80_nolock,1.25,20,5,off,0.5303,1.411,-0.3655,0.25,1.267,-0.3491,0.4544,0.9167,0.7333,True
ema200_only|sat_accel_80_nolock,1.25,20,10,off,0.5284,1.394,-0.3477,0.327,1.271,-0.3482,0.484,0.9167,0.7333,True
ema200_only|sat_accel_80_nolock,1.25,20,21,off,0.5056,1.357,-0.3621,-0.036,1.44,-0.3888,0.4557,0.9167,0.7333,True
ema200_only|sat_accel_80_nolock,1.25,30,5,off,0.4295,1.309,-0.3205,0.014,1.203,-0.3204,0.3904,0.9167,0.7333,True
ema200_only|sat_accel_80_nolock,1.25,30,10,off,0.4044,1.235,-0.3166,-0.051,1.335,-0.3269,0.3936,0.9167,0.7333,True
ema200_only|sat_accel_80_nolock,1.25,30,21,off,0.4071,1.242,-0.3449,0.015,1.312,-0.3512,0.3594,0.9167,0.7333,True
